Hospital_Norm,Traffic_Norm,Enforcement_Norm,Fire_Norm,Roads_Norm,Median_Age_Norm,Crude Depression Prevalence Estimate_Norm,Average_Family_Size_Norm,Shannon_Weiner,Percent_Male,Percent_H,Overdoses,County Name,cluster
1.548454256255919e-06,0.0060804842148645,3.484022076575818e-06,7.742271281279595e-07,0.0124401101595804,0.6327272727272727,0.7048611111111112,0.7679012345679013,0.2531373553670273,0.5055703623192596,0.0948011878814508,3673.0,ADA,0
4.082615480284636e-06,0.0131679385565982,2.947138049830472e-05,1.1609937772059434e-05,0.0144956358080255,0.6882098924178133,0.6388888888888888,0.7671302844570173,0.4001546804754612,0.5093474861394115,0.423962469791025,8314.0,ADAMS,1
5.190929932420294e-06,0.0156779682364961,5.450476429041308e-05,6.661693413272709e-05,0.0122068595331963,0.7272727272727273,0.7395833333333334,0.7308641975308642,0.4819756486553886,0.4839850703416595,0.065099052540913,3038.0,AIKEN,4
7.79656323767163e-06,0.0202500850511418,5.457594266370142e-05,1.3643985665925356e-05,0.0136132354914285,0.5472727272727272,0.6562499999999999,0.7185185185185186,0.5488512139156553,0.4828644861458296,0.1142097665739534,1829.0,ALACHUA,2
0.0002103061875059,0.1131379217383574,0.002208214968812,0.0002453572187568,0.0182346028893343,0.6018181818181818,0.6875,0.7580246913580246,0.3581064033498772,0.4960221793635487,0.4899349083895853,134.0,ALAMOSA,1
4.0617687845799305e-06,0.0117260505468149,8.529714447617855e-06,2.227203216877995e-05,0.0096883037776647,0.6535091561437025,0.6666666666666666,0.7224367370958863,0.5158845904111579,0.4866043298048516,0.0693262742589713,3448.0,ALBANY,4
2.1297110800240527e-05,0.0168757742707394,0.0001118098317012,0.0001366564609682,0.0182218821018444,0.7144596912521441,0.7881944444444444,0.7181797005696376,0.2913655156844583,0.5250271306881532,0.0221208021764015,186.0,ALLEGANY,3
6.750934107225398e-05,0.0475328764198711,0.0001772120203146,0.000196902244794,0.032483779638927,0.831641180012041,0.8090277777777778,0.6962799444035648,0.1711887793081276,0.4938757264193116,0.1005811354492624,105.0,ALLEGHANY,3
1.3145869362013212e-06,0.0022913012712062,9.317134910326863e-06,5.9430284407434725e-06,0.017713257412978,0.7509090909090909,0.7638888888888888,0.7185185185185186,0.43795899421746,0.488560741388831,0.0252129936030968,24777.0,ALLEGHENY,4
2.03876267554106e-05,0.0102591378758637,0.0001204144205241,3.196185236134682e-05,0.0313022985715781,0.6997920081691883,0.7777777777777777,0.7400174437912148,0.4680861901161455,0.4934205988519577,0.0837171636662758,6388.0,ALLEN,4
3.902610293527574e-05,0.0368925350745263,0.0006146611212305,0.0001821218136979,0.0217649582522029,0.8763636363636365,0.6145833333333333,0.6790123456790124,0.3198201623474706,0.5451076982517145,0.1595672751859364,211.0,AMADOR,0
4.926119584819388e-05,0.0249098977370306,0.0002216753813168,0.0002093600823548,0.0204448061966323,0.7368021298253856,0.6666666666666666,0.7391265511851214,0.1663706553710432,0.5083590534979424,0.0289351851851851,5711.0,ANDERSON,0
3.493688883547003e-05,0.0306248597990554,0.0001834186663862,6.793283940230283e-05,0.0152580801887883,0.6581818181818182,0.8055555555555555,0.7876543209876543,0.3897245184515864,0.4908898864536573,0.2351867372360822,629.0,ANGELINA,4
1.0392464360425111e-06,0.0119505199926504,1.3640109473057958e-05,1.2124541753829296e-06,0.0163761422328168,0.6490909090909092,0.6388888888888888,0.7728395061728395,0.5358900298062439,0.5004208548843564,0.2098663023323899,5997.0,ARAPAHOE,2
1.6975120391623792e-06,0.0334914618581928,8.91193820560249e-06,2.9706460685341638e-06,0.5053639846743295,0.610909090909091,0.6006944444444444,0.7209876543209877,0.5478946564150795,0.504008547008547,0.1559829059829059,1098.0,ARLINGTON,5
6.526558387053536e-06,0.0128252026149567,6.852886306406213e-05,9.898613553697862e-05,0.0193371628120859,0.8110494007600116,0.7638888888888888,0.7107564871051831,0.0965789985987757,0.5022780978269263,0.0092050596938854,1143.0,ARMSTRONG,3
2.8403554700023685e-05,0.0246271286048717,7.455933108756218e-05,0.0001159811816917,0.0225394446049943,0.7177755042385268,0.798611111111111,0.7382001508475249,0.1312074307069005,0.4964259021482915,0.0187232900864299,655.0,ASHLAND,3
2.79709796027025e-05,0.0109652158335507,2.9369528582837625e-05,6.852890002662112e-05,0.0185957986747497,0.7454545454545455,0.8263888888888888,0.7432098765432098,0.2192463501868505,0.5128125837507989,0.0502917104747768,1527.0,ASHTABULA,3
3.4691274122763943e-06,0.0111449851361862,6.07097297148369e-06,2.563299699070891e-05,0.0232755121847923,0.7254545454545455,0.6388888888888888,0.7827160493827161,0.5559846821071136,0.4886046191018655,0.2029038086185504,6454.0,ATLANTIC,2
7.942714594172183e-05,0.0613880206812529,0.000625488774291,0.0003243275125953,0.0059546062703115,0.8090380730380731,0.7013888888888888,0.7198987021209244,0.3602475502094143,0.5147645937488761,0.0378376434197748,394.0,BAKER,0
9.322110727391718e-06,0.0137807696828051,2.936464879128391e-05,2.936464879128391e-05,0.0097399858552648,0.7221887578070786,0.8541666666666667,0.7255150315710113,0.3132567596388378,0.4876093087426705,0.0503621644652748,2809.0,BALDWIN,3
4.487389115638601e-06,0.0236476199899356,2.355879285710265e-05,2.0941149206313468e-05,0.0114947537211977,0.5727272727272728,0.673611111111111,0.7827160493827161,0.2826118516901295,0.5017817844655205,0.0977579677603136,1007.0,BANNOCK,0
