,Hospital_Norm,Traffic_Norm,Enforcement_Norm,Fire_Norm,Roads_Norm,Median_Age_Norm,Crude Depression Prevalence Estimate_Norm,Average_Family_Size_Norm,Population_Density_Norm,Shannon_Weiner,Percent_Male,Percent_H,Overdoses,County Name
2,1.548454256255919e-06,0.006080484214864541,3.484022076575818e-06,7.742271281279595e-07,0.012440110159580487,0.6327272727272727,0.7048611111111112,0.7679012345679013,0.012115507247681526,0.2531373553670273,0.5055703623192596,0.0948011878814508,3673.0,ADA
3,8.812937708377899e-05,0.08246598796262262,0.00034700942226737977,0.00030845281979322643,0.025984789237700076,0.6725493646138808,0.576388888888889,0.727463162086818,0.00026511704056164805,0.1126511617016231,0.5021350413664265,0.0302908993861756,0.0,ADAIR
19,4.082615480284636e-06,0.013167938556598265,2.9471380498304718e-05,1.1609937772059434e-05,0.01449563580802555,0.6882098924178133,0.6388888888888888,0.7671302844570173,0.011038538701965332,0.4001546804754612,0.5093474861394115,0.423962469791025,8314.0,ADAMS
163,5.190929932420294e-06,0.015677968236496115,5.450476429041308e-05,6.661693413272709e-05,0.012206859533196364,0.7272727272727273,0.7395833333333334,0.7308641975308642,0.0005081088051126113,0.4819756486553886,0.4839850703416595,0.065099052540913,3038.0,AIKEN
164,7.79656323767163e-06,0.0202500850511418,5.457594266370142e-05,1.3643985665925356e-05,0.013613235491428514,0.5472727272727272,0.6562499999999999,0.7185185185185186,0.0011447764231801202,0.5488512139156553,0.4828644861458296,0.1142097665739534,1829.0,ALACHUA
167,0.00021030618750591038,0.11313792173835747,0.0022082149688120592,0.00024535721875689544,0.01823460288933435,0.6018181818181818,0.6875,0.7580246913580246,1.8743154038284105e-05,0.3581064033498772,0.4960221793635487,0.4899349083895853,134.0,ALAMOSA
168,4.0617687845799305e-06,0.011726050546814954,8.529714447617855e-06,2.227203216877995e-05,0.009688303777664763,0.6535091561437025,0.6666666666666666,0.7224367370958863,0.006532323801315375,0.5158845904111579,0.4866043298048516,0.0693262742589713,3448.0,ALBANY
181,2.7629504935379257e-05,0.012952050754267794,0.0005802196036429644,4.8351633636913695e-05,0.020021554668407233,0.8,0.5833333333333334,0.7234567901234569,0.00015780690670958217,0.1500408772447447,0.5138252148997134,0.0777936962750716,0.0,ALLAMAKEE
182,2.1297110800240527e-05,0.016875774270739462,0.00011180983170126278,0.00013665646096821006,0.018221882101844413,0.7144596912521441,0.7881944444444444,0.7181797005696376,0.0009841271266677037,0.2913655156844583,0.5250271306881532,0.0221208021764015,186.0,ALLEGANY
186,6.750934107225398e-05,0.047532876419871146,0.0001772120203146667,0.00019690224479407408,0.032483779638927034,0.831641180012041,0.8090277777777778,0.6962799444035648,0.00021711306676745502,0.1711887793081276,0.4938757264193116,0.1005811354492624,105.0,ALLEGHANY
