cluster,Overdoses,Hospitals,Median_Age,Average_Family_Size,Number of Roads,Traffic_Volume,Population,Population_Density,Area_Sq_Miles,Number of Local Law Enforcements,Number of Fire Departments,Crude Depression Prevalence Estimate,Percent_Male,Shannon_Weiner,Percent_H,Overdoses_Norm,Population_Density_Norm,Population_Norm
0.0,2274.3333333333335,1.1569686784163977,40.30278833019749,2.986475888393957,1.815208659499477,7.390190066212046,334818462.1333333,532728.5353333333,1758926.9322666668,1.7161762525666442,6.5493753236545125,18.69333333333333,0.5058372124922068,0.25184431736937607,0.10737167185070606,3.9163792273487243,0.07975887050357171,0.019794023832178268
1.0,6683.5,1.5819331971329527,35.18442075855382,3.318134093011698,1.5682900664453587,9.050259528798373,8802456432.895834,6321850.395833333,11877355.691458335,1.9272031658919984,7.925268165726422,18.925,0.5063727010967083,0.3618648639401724,0.5452882250481587,6.2274486340778665,0.9464926573695304,0.5203895606720329
2.0,7145.98717948718,3.221297150467629,36.41984053499076,3.183860450253578,3.071489797359966,5.133618394192522,2418195246.051282,3438429.446153846,3049272.263333333,1.0456124986413515,9.181285454421252,17.953846153846154,0.49743268004056307,0.531116895413026,0.204097641943894,39.31971453256665,0.5147936157762876,0.14296049873181088
3.0,2244.278195488722,1.0199540324105034,40.09179537185248,2.973314370468022,2.1533727199625825,7.08506134963842,272732357.0300752,456299.9887218045,1441676.4166917293,1.397518133932464,6.019729278227269,23.692481203007517,0.5007663223408938,0.20067711252614662,0.0446197257844884,3.1688252334991014,0.06831616723604185,0.016123575565285438
4.0,4615.175324675325,0.9701231535029773,38.70551994128519,3.023686470659097,2.2795313863396136,6.800449933471347,1744020832.8506494,2099046.9396103895,2222323.7456493503,1.2527517043636325,5.269900584123874,22.094155844155843,0.4933666600031609,0.47107658539587843,0.0680150977112591,5.230449702940344,0.31426439909502646,0.10310420073405008
5.0,5008.5,4.399296787270505,38.0,2.8825,74.79759032332052,27.287589555285226,678511515.75,29189603.424999997,17637.0775,10.034970673082787,19.408431557554742,19.525,0.4912091947552876,0.48966694932529975,0.15652241545041437,7.376518723242713,4.370199163760685,0.04011270175362832
