,County Name,Overdoses,Hospitals,Median_Age,Average_Family_Size,Number of Roads,Traffic_Volume,Population,Population_Density,Area_Sq_Miles,Number of Pharmacies,Number of Local Law Enforcements,Number of Fire Departments,Crude Depression Prevalence Estimate,Percent_Male,Shannon_Weiner,Percent_H
0,ABBEVILLE,129.0,1.0,41.5,2.98,307.0,461725.0,7775082.0,15257.9,156877.0,,,9.0,22.3,0.4865741501067498,0.44069526697978,0.0205698801116767
1,ACCOMACK,166.0,1.0,,,,,,,,,,13.0,18.8,0.4923322587448405,0.4851188655395525,0.0966828357084751
2,ADA,3673.0,7.0,34.8,3.11,4373.0,31178864.0,1766062288.0,1618447.3,4636604.44,68.0,3.0,6.0,20.3,0.5055703623192596,0.2531373553670273,0.0948011878814508
3,ADAIR,0.0,4.0,36.99021505376344,2.946225806451613,930.0,4245576.0,17731507.0,35415.6,472072.33,8.0,3.0,24.0,16.6,0.5021350413664265,0.1126511617016231,0.0302908993861756
19,ADAMS,8314.0,16.0,37.85154408297973,3.10687765205092,8484.0,58535827.0,1531044669.0,1474580.7,7719837.99,74.0,22.0,78.0,18.4,0.5093474861394115,0.4001546804754612,0.423962469791025
163,AIKEN,3038.0,1.0,40.0,2.96,458.0,3425840.0,75259476.0,67875.59999999999,494887.32,,2.0,22.0,21.3,0.4839850703416595,0.4819756486553886,0.065099052540913
164,ALACHUA,1829.0,3.0,30.1,2.91,599.0,8838272.0,150322644.0,152924.7,580377.09,,4.0,9.0,18.9,0.4828644861458296,0.5488512139156553,0.1142097665739534
165,ALAMANCE,2026.0,1.0,38.5,2.98,1022.0,8625860.0,157981782.0,355042.8,444559.78,,,13.0,23.0,0.47930004026016,0.5083272725559465,0.1419425810731884
166,ALAMEDA,12521.0,15.0,,,,,,,,203.0,16.0,15.0,13.6,0.4968308720028336,0.7561773660032944,0.222215264975933
167,ALAMOSA,134.0,1.0,33.1,3.07,117.0,610209.0,1857609.0,2503.8,84631.95,7.0,2.0,2.0,19.8,0.4960221793635487,0.3581064033498772,0.4899349083895853
168,ALBANY,3448.0,5.0,35.94300358790364,2.925868785238339,1951.0,16373029.0,480907072.0,872619.0,2656160.52,6.0,2.0,47.0,19.2,0.4866043298048516,0.5158845904111579,0.0693262742589713
172,ALBEMARLE,567.0,1.0,38.1,2.96,2435.0,9301836.0,245764550.0,331890.5,1768053.5,,,8.0,18.7,0.4808790402849808,0.4303004244967963,0.0605933609233939
173,ALEUTIANS EAST,0.0,,42.0,3.04,29.0,2789.0,91582.0,11.6,204069.81,,,5.0,10.7,,,
174,ALEUTIANS WEST (CA),0.0,,,,,,,,,,,,,,,
175,ALEXANDER,88.0,,40.91961023142509,2.94,821.0,1650113.0,16677942.0,62602.6,210916.0,,1.0,11.0,17.2,0.4843557019349526,0.4995250826094776,0.0259365994236311
179,ALEXANDRIA (CITY),881.0,,,,,,,,,,,,,,,
180,ALFALFA,0.0,,46.0,2.81,138.0,115570.0,787980.0,883.2,121631.82,1.0,,7.0,21.4,0.6240908284548519,0.3705545917777545,0.0732659215894979
181,ALLAMAKEE,0.0,1.0,44.0,2.93,967.0,531726.0,14139474.0,21080.6,637049.9299999999,,4.0,3.0,16.8,0.5138252148997134,0.1500408772447447,0.0777936962750716
182,ALLEGANY,186.0,4.0,39.29528301886793,2.9086277873070325,1166.0,3595220.0,73374585.0,131464.4,844014.9,,4.0,44.0,22.7,0.5250271306881532,0.2913655156844583,0.0221208021764015
186,ALLEGHANY,105.0,2.0,45.740264900662254,2.8199337748344373,755.0,1597286.0,11573707.0,29003.000000000004,306566.85000000003,,1.0,10.0,23.3,0.4938757264193116,0.1711887793081276,0.1005811354492624
190,ALLEGHENY,24777.0,20.0,41.3,2.91,4837.0,39540790.0,5943565327.0,7946707.300000001,3601823.68,,27.0,155.0,22.0,0.488560741388831,0.43795899421746,0.0252129936030968
191,ALLEN,6388.0,16.0,38.48856044930535,2.9970706473544197,3383.0,9132436.0,306591186.0,750048.9999999999,1425510.97,2.0,18.0,43.0,22.4,0.4934205988519577,0.4680861901161455,0.0837171636662758
211,ALLENDALE,0.0,1.0,38.7,3.14,107.0,184150.0,1106808.0,2707.1,44130.01,,1.0,,19.9,0.5309407573558517,0.4464797449136871,0.0360205831903945
212,ALPINE,0.0,,46.4,2.92,38.0,67070.0,43624.0,60.8,28256.8,,1.0,4.0,17.6,0.553781512605042,0.5300966844658476,0.1319327731092437
213,AMADOR,211.0,1.0,48.2,2.75,261.0,1072274.0,10010394.0,16416.899999999998,158171.22,8.0,3.0,8.0,17.7,0.5451076982517145,0.3198201623474706,0.1595672751859364
214,AMHERST,270.0,,,,,,,,,,,3.0,20.0,0.4792807622906708,0.4291801514709757,0.0291873753521795
215,ANCHORAGE,3966.0,6.0,33.0,3.1899999999999995,2948.0,24927273.0,878359548.0,496443.2,5110092.680000001,48.0,,11.0,16.5,,,
216,ANDERSON,5711.0,7.0,40.52411714039621,2.9934625322997417,1161.0,4015018.0,55513607.0,115019.6,749021.04,1.0,6.0,51.0,19.2,0.5083590534979424,0.1663706553710432,0.0289351851851851
241,ANGELINA,629.0,3.0,36.2,3.19,383.0,2982865.0,33546204.0,38453.2,331088.18,,3.0,10.0,23.2,0.4908898864536573,0.3897245184515864,0.2351867372360822
242,APACHE,940.0,4.0,,,,,,,,8.0,4.0,13.0,20.8,0.4952469739576965,0.4399902421430236,0.0722582222765619
243,ARANSAS,30.0,,,,,,,,,,,4.0,21.8,0.4972338037203335,0.2306407992269859,0.297185695958948
244,ARAPAHOE,5997.0,4.0,35.7,3.13,2567.0,52173589.0,1503653621.0,1823083.4,2067564.48,100.0,10.0,8.0,18.4,0.5004208548843564,0.5358900298062439,0.2098663023323899
245,ARCHER,0.0,,42.6,3.0,215.0,241908.0,1980580.0,2107.0,199049.15,,2.0,6.0,22.5,0.5006225240520656,0.1905587842601138,0.0939445387662705
246,ARCHULETA,0.0,1.0,48.2,2.71,41.0,198573.0,508277.0,364.9,55576.32,2.0,2.0,1.0,17.8,0.5031064771834607,0.2601193692831045,0.1841034064129115
247,ARKANSAS,0.0,2.0,40.7,2.87,226.0,516260.0,4269818.0,4158.4,233622.98,,2.0,31.0,22.6,0.4887354651162791,0.4624767834046912,0.040515988372093
248,ARLINGTON,1098.0,1.0,33.6,2.92,1069.0,22379156.0,230140734.0,8504001.9,27900.9,,1.0,3.0,17.3,0.504008547008547,0.5478946564150795,0.1559829059829059
249,ARMSTRONG,1143.0,1.0,44.60771704180064,2.8785637727759914,933.0,2228961.0,59857990.0,90031.5,636405.1499999999,,2.0,26.0,22.0,0.5022780978269263,0.0965789985987757,0.0092050596938854
253,ASHE,0.0,1.0,45.5,2.75,180.0,596140.0,4969980.0,11448.0,77245.2,,,8.0,22.3,0.4978974548137219,0.1253063162314835,0.0565842862412393
254,ASHLAND,655.0,2.0,39.47765273311897,2.989710610932476,622.0,1966951.0,27508294.0,60294.6,363992.11,,1.0,14.0,23.0,0.4964259021482915,0.1312074307069005,0.0187232900864299
258,ASHTABULA,1527.0,5.0,41.0,3.01,689.0,2223320.0,69834284.0,98595.9,488707.7,,1.0,21.0,23.8,0.5128125837507989,0.2192463501868505,0.0502917104747768
259,ASOTIN,148.0,1.0,43.5,2.83,66.0,427781.0,1453320.0,2230.8,42280.26,6.0,,3.0,26.1,0.4864936911320419,0.2363337122131396,0.0498489425981873
260,ATHENS,880.0,2.0,26.6,2.87,526.0,1930921.0,34347800.0,67012.40000000001,267465.74,,,12.0,29.3,0.5007375506536225,0.2501007648622613,0.0206344631139897
261,ATKINSON,0.0,,33.3,3.29,137.0,241266.0,1170939.0,3329.1,47174.58,,3.0,,22.0,0.5087376267872419,0.4845414976346396,0.2862031039960894
262,ATLANTIC,6454.0,3.0,39.9,3.17,1236.0,10932084.0,337837116.0,598842.0,700428.8400000001,,1.0,38.0,18.4,0.4886046191018655,0.5559846821071136,0.2029038086185504
263,ATOKA,0.0,1.0,39.5,3.02,135.0,507990.0,1919160.0,1930.5,133654.05,,1.0,10.0,24.7,0.548871126069275,0.5847192596469246,0.0455756555882765
264,AUDUBON,0.0,1.0,46.8,2.81,41.0,108945.0,250633.0,565.8000000000001,18179.81,2.0,2.0,3.0,16.9,0.4933904966059307,0.1114599527631695,0.029296177206145
265,AUGLAIZE,10.0,1.0,40.0,3.02,559.0,1692498.0,25906296.0,63893.7,224684.46,,,10.0,22.6,0.5031557412727431,0.1135569980700365,0.0195438321580917
266,AUGUSTA,397.0,1.0,42.9,2.9,150.0,1288080.0,11087400.0,11400.0,145627.5,,,12.0,20.0,0.5090438614470179,0.2206618559917297,0.0388014962082393
267,AURORA,0.0,,42.9,2.96,37.0,79726.0,99974.0,140.6,26376.56,,,3.0,14.5,0.5143375680580762,0.2062102869954023,0.084573502722323
268,AUSTIN,0.0,1.0,40.7,3.0600000000000005,178.0,1203782.0,5197244.0,7707.4,116880.14,,2.0,5.0,21.6,0.5034247676624755,0.3183016096887414,0.289159726018587
269,AUTAUGA,10.0,1.0,,,,,,,,,,9.0,24.5,0.4870396090965377,0.4431876952589339,0.0338191736809518
270,AVERY,0.0,2.0,42.4,2.8,142.0,445530.0,2551030.0,10224.0,35102.4,,2.0,10.0,21.7,0.542370952137044,0.2097994393870902,0.0532126799840646
271,BACA,0.0,1.0,47.4,2.84,81.0,118005.0,308529.0,121.5,207121.86,1.0,3.0,5.0,20.4,0.5011655011655012,0.221996840173113,0.1273310023310023
272,BACON,0.0,1.0,36.9,3.05,164.0,367867.0,1826632.0,6363.2,46859.72,,2.0,1.0,22.0,0.4918237869716736,0.4080351389686592,0.0888213743186489
273,BAILEY,0.0,1.0,32.6,3.37,79.0,159875.0,563744.0,687.3,65369.34,2.0,1.0,1.0,19.8,0.5086295913851601,0.2712920100625502,0.6505384274966809
274,BAKER,394.0,2.0,44.49709401709402,2.9155897435897438,585.0,1753344.0,9837107.0,8299.9,1295828.75,5.0,3.0,14.0,20.2,0.5147645937488761,0.3602475502094143,0.0378376434197748
283,BALDWIN,2809.0,5.0,39.72038167938932,2.9383358778625954,1310.0,8384008.0,209537667.0,161893.69999999998,1774016.95,,3.0,27.0,24.6,0.4876093087426705,0.3132567596388378,0.0503621644652748
287,BAMBERG,0.0,,39.2,3.07,159.0,252104.0,2553699.0,6423.599999999999,62862.240000000005,,1.0,5.0,20.1,0.4766036566470406,0.5139068808060511,0.0288193368453672
288,BANDERA,0.0,,48.7,2.8100000000000005,114.0,342837.0,2403234.0,2929.8,90918.41999999998,,,7.0,21.3,0.4991182455347049,0.1887610904777038,0.2177707438390232
289,BANKS,76.0,,38.3,3.14,163.0,588890.0,3021042.0,12811.799999999996,38125.7,,2.0,3.0,21.9,0.5120033112582781,0.2282687490258778,0.0819536423841059
290,BANNOCK,1007.0,1.0,31.5,3.17,1027.0,5977453.0,87058790.0,74149.40000000001,1178461.96,15.0,1.0,8.0,19.4,0.5017817844655205,0.2826118516901295,0.0977579677603136
291,BARNES,0.0,1.0,44.3,2.79,575.0,870425.0,6403775.0,4197.5,870210.75,4.0,,12.0,18.4,0.5116192600855177,0.2112059256804507,0.0233314742517196
292,BARNWELL,286.0,,38.8,3.05,176.0,394800.0,4019312.0,7145.6,98107.68,,,6.0,22.2,0.4848633290878809,0.5293627237983626,0.0301263838542176
293,BARRON,20.0,3.0,43.1,2.85,342.0,1089540.0,15809634.0,17613.0,304376.58,12.0,1.0,8.0,20.0,0.5037465576500224,0.1753178869882461,0.0323634267660055
294,BARROW,857.0,1.0,,,,,,,,,3.0,3.0,20.4,0.495963000705495,0.4720254639478294,0.1509087447787769
295,BARTHOLOMEW,1205.0,1.0,38.0,3.02,475.0,3167962.0,37022925.0,89062.5,194517.25,,1.0,9.0,22.7,0.5053866411299976,0.3357419335066111,0.0840435719415848
296,BARTOW,1480.0,1.0,36.2,3.2,558.0,5346816.0,56515356.0,118909.8,262276.74,,7.0,2.0,21.5,0.496303715784995,0.3594607142477522,0.1036111899021415
297,BASTROP,481.0,2.0,38.3,3.26,872.0,2992589.0,64753848.0,72201.59999999999,780980.64,,1.0,9.0,20.2,0.5108204316871963,0.3308122983082219,0.4340320940219234
298,BATH,0.0,1.0,44.25555555555555,2.833801169590643,342.0,646429.0,2643184.0,7701.2,146213.4,,2.0,6.0,26.4,0.5000389741990802,0.1279186167812554,0.0190973575493023
302,BAY,2664.0,4.0,40.86863787375415,2.9199999999999995,1505.0,12400463.0,197022888.0,350310.9,849946.01,,11.0,26.0,20.9,0.4970237773720656,0.4216483599773759,0.0794235526699579
306,BAYLOR,0.0,1.0,47.2,2.79,194.0,155492.0,726724.0,795.4,174797.88,,,1.0,21.7,0.4950952106174264,0.2293714681176475,0.1534910559723023
307,BEADLE,0.0,1.0,41.2,2.92,209.0,549792.0,3741518.0,2884.2000000000003,264359.92000000004,4.0,,5.0,14.9,0.4957163501238645,0.4353201377030091,0.1251548307184145
308,BEAR LAKE,0.0,1.0,40.5,3.12,101.0,117304.0,609030.0,575.7,105990.41,3.0,1.0,1.0,19.0,0.504016661707825,0.1230831561853423,0.0443320440345135
309,BEAUFORT,2292.0,3.0,,,,,,,,,3.0,25.0,21.5,0.4839853632092519,0.458924443432777,0.0850424647632815
313,BEAVER,2637.0,4.0,43.11741071428571,2.926128826530612,1568.0,5544073.0,223616545.0,498079.3,1144146.23,3.0,6.0,50.0,22.1,0.5093700159489634,0.2539869840858528,0.280103668261563
322,BEDFORD,2731.0,3.0,42.88035034272657,2.929428789032749,1313.0,2670371.0,64968887.0,71611.7,1248155.13,,2.0,26.0,21.8,0.5036694925977477,0.094263019837281,0.0133071829263149
331,BEDFORD (CITY),1416.0,,,,,,,,,,,,,,,
332,BELKNAP,837.0,1.0,44.6,2.84,1247.0,4121033.0,75793907.0,159740.69999999998,584768.18,,1.0,11.0,20.2,0.4987264784427532,0.1355264682535427,0.0225683456569055
333,BELL,2128.0,9.0,31.300727883538634,3.114585666293393,1786.0,12821445.0,506652304.0,457299.8,1759131.4700000002,,5.0,19.0,27.7,0.5000848608282417,0.183725679254917,0.014468771215207
337,BELMONT,905.0,2.0,43.4,2.85,677.0,2914082.0,47733239.0,88077.7,366473.64,,,19.0,24.0,0.5183562563922515,0.2063190515046604,0.0130058465249049
338,BENNETT,0.0,1.0,28.8,3.73,16.0,13062.0,54832.0,46.4,19050.72,1.0,1.0,2.0,16.0,0.4955035971223021,0.5774290206483231,0.0689448441247002
339,BENNINGTON,586.0,1.0,45.1,2.83,447.0,1245563.0,16750431.0,24495.6,302878.26,,,13.0,25.4,0.4931536157466837,0.1673365218853233,0.026101839965768
340,BENSON,0.0,,31.8,3.46,180.0,132315.0,1209060.0,827.9999999999999,259090.2,2.0,,7.0,20.4,0.5168110918544194,0.5222502085307194,0.0492201039861351
341,BENT,0.0,,39.8,2.94,55.0,106788.0,351065.0,231.0,84764.90000000001,1.0,1.0,1.0,17.8,0.6319688831265049,0.3769689963540881,0.3341359511020559
342,BENTON,3434.0,9.0,37.66898334290638,3.017225732337737,5223.0,26362379.0,506680426.0,516058.1,4659106.0,77.0,17.0,65.0,21.8,0.5029336696790297,0.35386233771547,0.1796686950865572
423,BERGEN,7042.0,7.0,41.1,3.2,3369.0,51908090.0,3051542499.0,12713595.3,808054.65,,8.0,70.0,15.7,0.4910655542462358,0.5430684316009857,0.226810787442143
424,BERKELEY,6439.0,2.0,36.1625386996904,3.066749226006192,646.0,6995672.0,92100610.0,157889.0,466896.78,,2.0,29.0,21.6,0.498007074172742,0.5295250722898173,0.0773589755096545
428,BERKS,5296.0,6.0,39.0,3.08,2013.0,13095286.0,833027712.0,956980.2,1742332.0199999998,,14.0,57.0,20.8,0.4975804334543697,0.3588698693812299,0.2450580672739395
429,BERNALILLO,15377.0,8.0,35.9,3.07,4047.0,66171115.0,2731947585.0,2297481.9000000004,4723536.99,134.0,2.0,5.0,19.1,0.49279859867838,0.4301347181588842,0.5090824198373848
430,BERTIE,54.0,1.0,42.7,2.97,214.0,531020.0,4619618.0,6420.0,151668.22,,,9.0,20.1,0.5139211136890951,0.5126316650352828,0.026276102088167
431,BEXAR,13771.0,17.0,32.9,3.33,8139.0,76627830.0,14491115106.0,11112990.6,10221688.71,,11.0,32.0,20.6,0.4973998922084164,0.406635086100405,0.6128286550814992
432,BIBB,1018.0,4.0,35.97584269662921,3.097837078651686,1068.0,10020568.0,136442655.0,518355.00000000006,358358.79,,3.0,9.0,24.8,0.5351056578050443,0.4040521878405306,0.0317655078391274
436,BIG HORN,0.0,4.0,35.45386819484241,3.454355300859598,349.0,506604.0,4376944.0,1075.7,1466225.22,8.0,3.0,8.0,23.6,0.4972375690607735,0.5053559694247931,0.0659870827172982
440,BILLINGS,0.0,,49.0,2.72,96.0,89420.0,77184.0,67.19999999999999,110730.24,,,2.0,16.2,0.5324165029469549,0.206566673578653,0.0265225933202357
441,BINGHAM,96.0,3.0,31.800000000000004,3.45,533.0,1525290.0,24773840.0,11459.5,1130077.26,9.0,4.0,5.0,19.7,0.5040963083148048,0.2837104273828173,0.1824209282294734
442,BLACK HAWK,576.0,3.0,34.5,2.93,2391.0,13594457.0,318309048.0,547299.9,1369230.0599999998,31.0,10.0,7.0,18.3,0.4934138815112762,0.3933878410308098,0.0497182860739671
443,BLADEN,670.0,1.0,41.3,2.96,392.0,1235300.0,13977544.0,15562.4,347790.24,,1.0,11.0,21.9,0.4786049038918699,0.5575748201259566,0.0860218705426883
444,BLAIR,1825.0,4.0,42.0,2.91,1251.0,4012983.0,160294383.0,301491.0,659589.75,,2.0,16.0,22.3,0.4950343710754181,0.1616234195643272,0.0153595743274505
445,BLANCO,0.0,,46.5,2.89,104.0,478088.0,1141088.0,1528.8,74189.44,,3.0,2.0,20.8,0.5052343372523755,0.1985523730549224,0.1972942502818489
446,BLECKLEY,0.0,1.0,35.8,2.99,190.0,521317.0,2521870.0,11324.0,41619.5,,3.0,1.0,20.1,0.4798890429958391,0.4465549467874341,0.0343477196703924
447,BLEDSOE,0.0,1.0,42.2,2.96,77.0,118595.0,1010471.0,2440.9,31319.75,,,8.0,25.6,0.5683200432490877,0.2252793157040561,0.0356804973645087
448,BLOUNT,3373.0,2.0,40.37515527950311,2.975590062111801,644.0,4524979.0,62735368.0,105756.4,387093.32,,,24.0,26.7,0.4970930232558139,0.1540940238215896,0.1007023793520634
452,BOISE,0.0,,,,,,,,,,2.0,9.0,17.6,0.5109804392175687,0.2187953493199609,0.0652826113044521
453,BON HOMME,0.0,2.0,43.1,2.84,106.0,82512.0,757794.0,1293.1999999999998,61653.84,3.0,,5.0,14.4,0.5923251203625035,0.2807616493177336,0.0329934862645143
454,BONNEVILLE,1092.0,3.0,31.800000000000004,3.32,1134.0,7703203.0,121291506.0,62143.2,2155257.72,18.0,1.0,4.0,19.3,0.5023475628590844,0.1896309781223094,0.142822944338049
455,BOONE,1787.0,10.0,36.33438470728793,3.121005973715651,4185.0,24593875.0,345482574.0,857118.5,1823797.98,23.0,13.0,53.0,24.0,0.4942795946087138,0.1533605499077012,0.0326507157036882
519,BORDEN,0.0,,45.8,2.89,57.0,23132.0,37848.0,39.9,51643.71,,,1.0,19.2,0.5145299145299145,0.1694934698375627,0.2256410256410256
520,BOTETOURT,250.0,,,,,,,,,,,5.0,19.7,0.4990478980518529,0.1923830595284366,0.0222059469752453
521,BOTTINEAU,0.0,1.0,47.8,2.72,143.0,88185.0,937222.0,543.4,242746.79,1.0,,11.0,16.8,0.5214868255959849,0.2412128299100464,0.0243099121706399
522,BOULDER,2031.0,6.0,35.8,3.0,2842.0,31034141.0,855669360.0,1130547.6,2104358.9,58.0,6.0,18.0,18.9,0.5055303113586671,0.2874322101950665,0.1405633527550783
523,BOUNDARY,0.0,1.0,42.7,3.0,124.0,223970.0,1413724.0,1066.4,158460.84,3.0,1.0,6.0,18.8,0.5073061071562383,0.2188001128934232,0.0553016110902959
524,BOWIE,216.0,2.0,37.8,3.04,1019.0,5537475.0,95739126.0,102103.8,941117.83,,4.0,13.0,22.4,0.5030042918454936,0.5094428833702692,0.0855652740805128
525,BOWMAN,0.0,1.0,46.8,2.82,75.0,78845.0,242850.0,202.5,87522.75,1.0,,4.0,17.3,0.5051831375259157,0.1540870295657127,0.055286800276434
526,BOX ELDER,450.0,2.0,30.6,3.5,475.0,2399835.0,24431625.0,3515.0,3196384.25,1.0,,11.0,23.9,0.5150248788578491,0.1710180939276268,0.1018081888841913
527,BRADFORD,421.0,2.0,43.06897727272727,2.924255681818181,1760.0,2776049.0,107008861.0,99261.7,1951474.64,,5.0,21.0,19.7,0.5313953062644162,0.412291741090612,0.048548310328415
531,BRADLEY,1588.0,2.0,38.6967816091954,2.985425287356322,435.0,2937089.0,33376277.0,96701.3,182134.78,,2.0,9.0,22.3,0.484163788850518,0.5028588380845574,0.1685249136655155
535,BRANTLEY,41.0,,37.6,3.08,141.0,341981.0,2662503.0,5809.200000000001,63059.43,,3.0,2.0,24.2,0.4968377055491393,0.2064351058666779,0.0309629874058186
536,BRAXTON,167.0,1.0,43.7,2.86,165.0,450482.0,2428965.0,4636.5,85164.75,,,7.0,27.6,0.51629052113254,0.1134638294366584,0.012228149363972
537,BRAZORIA,2271.0,3.0,,,,,,,,,8.0,24.0,19.0,0.505078816325374,0.5377928812052234,0.3249875702314126
538,BRAZOS,783.0,4.0,,,,,,,,,1.0,6.0,21.5,0.5048633550125199,0.4505595157884928,0.2677902931235383
539,BREMER,0.0,2.0,39.3,2.88,318.0,2495942.0,7779234.0,17553.600000000002,139773.72,7.0,6.0,5.0,16.3,0.501405439645275,0.1480377853545267,0.0205867215645908
540,BREVARD,12124.0,9.0,,,,,,,,,11.0,17.0,18.6,0.4933604780772896,0.4001969579817662,0.1206101859383249
541,BREWSTER,0.0,1.0,41.5,2.89,64.0,153564.0,615872.0,96.0,396304.64,2.0,,3.0,19.5,0.5100074922401798,0.3602495442618,0.4547789789146955
542,BRISCOE,0.0,,45.9,2.87,63.0,37940.0,101997.0,113.4,56799.54,,,2.0,21.7,0.5080363382250175,0.254551367573721,0.2760307477288609
543,BRISTOL,321.0,8.0,41.3,2.81,321.0,2812200.0,5751357.0,434056.2,4233.99,,21.0,25.0,21.5,0.4895684643869339,0.3472800418447265,0.0964559327527117
549,BRISTOL (CITY),55.0,,,,,,,,,,,,,,,
550,BRISTOL BAY,0.0,,42.6,2.93,25.0,14311.0,25275.0,47.5,13357.25,,,1.0,16.5,,,
551,BRONX,26930.0,7.0,32.9,3.39,1921.0,26384574.0,2684203695.0,63276779.5,80778.04999999999,,2.0,3.0,16.7,0.473123585995394,0.698123482379665,0.5658330108569466
552,BROOKE,526.0,,44.8,2.83,236.0,1157735.0,5670136.0,61360.0,21846.52,,,10.0,25.4,0.4964800073620761,0.1344037263114559,0.0118253347443979
553,BROOKINGS,0.0,1.0,26.5,2.93,315.0,1047363.0,10350270.0,12505.5,253584.44999999995,5.0,1.0,7.0,16.2,0.516373576823357,0.2553135652028378,0.0434843873295006
554,BROOKS,0.0,1.0,39.23277027027027,3.143006756756757,296.0,970515.0,3788454.0,6736.3,199502.58,,4.0,3.0,20.8,0.4908016981480342,0.5455809261128531,0.0823847905002153
558,BROOME,3176.0,3.0,40.2,2.92,1182.0,6329687.0,237228582.0,331314.60000000003,845851.02,,1.0,33.0,21.6,0.4945489227210236,0.3808434596926563,0.051101629996398
559,BROOMFIELD,356.0,1.0,36.3,3.12,4.0,47863.0,241048.0,6659.2,134.28,11.0,1.0,,18.2,0.5051168534307221,0.3389898615182717,0.1388710080004203
560,BROWARD,26048.0,17.0,39.6,3.14,3108.0,79381812.0,5398278984.0,4436670.0,3805901.4,,18.0,26.0,15.9,0.4916806452507568,0.5642099795660745,0.3254024342766866
561,BROWN,3103.0,15.0,39.17230989956958,2.945345767575323,3485.0,13894895.0,319368875.0,572066.7,2218998.49,23.0,14.0,69.0,16.1,0.6374407582938388,0.4042079942909425,0.071563981042654
642,BRULE,0.0,1.0,41.4,3.03,65.0,124622.0,348140.0,403.0,55015.99999999999,2.0,1.0,3.0,15.2,0.5040405938733321,0.3755651767361243,0.0353317045668107
643,BRUNSWICK,2006.0,3.0,41.69971509971509,2.9055840455840456,351.0,1485573.0,8388982.0,12904.9,206573.67,,2.0,25.0,20.9,0.4809295458109026,0.3141694535063131,0.0527295771703339
647,BRYAN,274.0,1.0,37.0,2.97,254.0,1064402.0,11218418.0,11430.0,239593.12,,2.0,20.0,19.6,0.497128045619492,0.4569909994185843,0.086407465007776
651,BUCHANAN,246.0,5.0,38.94210526315789,2.9948203842940684,2394.0,5140252.0,103313382.0,225772.4,1228803.52,10.0,4.0,23.0,17.1,0.5042966109877378,0.1047153014861939,0.0187312928454185
660,BUCKS,8272.0,7.0,41.9,3.11,2436.0,23157186.0,1533211092.0,2447936.4,1515630.48,,6.0,56.0,19.5,0.4954189881777339,0.3295340803885626,0.0629916255073218
661,BUENA VISTA,0.0,1.0,37.12047005307051,3.1309931766489765,1319.0,980802.0,26021445.0,96879.5,734459.8899999999,6.0,5.0,5.0,15.7,0.5140291262135922,0.4712919154233373,0.2786407766990291
663,BUENA VISTA (CITY),0.0,,,,,,,,,,,,,,,
664,BUFFALO,0.0,2.0,35.99319470699433,2.9911153119092626,529.0,1901997.0,17720222.0,18936.7,457029.36,17.0,1.0,11.0,17.1,0.5025896493100858,0.1828673237623498,0.1010556280393784
673,BULLOCH,93.0,1.0,,,,,,,,,5.0,2.0,21.0,0.4895796963604185,0.5073559276243725,0.0460275226044137
674,BULLOCK,0.0,1.0,38.4,3.12,187.0,185165.0,2050642.0,3272.5,116884.35,,,5.0,22.0,0.5541070378357185,0.4813715092296576,0.0935110762595569
675,BUNCOMBE,4700.0,3.0,40.7,2.86,1044.0,11771800.0,255561804.0,377092.8,688904.28,,,19.0,22.7,0.48268387983435,0.286970268684016,0.0745315052871277
676,BUREAU,30.0,2.0,42.4,2.94,1630.0,3067726.0,57204850.0,65363.0,1423511.6,,6.0,19.0,17.0,0.4979895211404898,0.1558808190419911,0.1054587547215791
677,BURKE,1714.0,3.0,40.61907756813417,2.9830607966457023,954.0,4825395.0,61892868.0,114835.0,631275.88,,2.0,21.0,20.1,0.4776529440708545,0.5262016482485499,0.0368623913400032
686,BURLEIGH,500.0,2.0,37.3,2.9,1510.0,7530175.0,128123500.0,73537.0,2519193.4,19.0,,4.0,18.7,0.5037369057211926,0.2913372391432022,0.0310636583400483
687,BURLINGTON,6000.0,6.0,,,,,,,,,1.0,48.0,18.6,0.4946460331729252,0.5363143059608154,0.0957513682598052
688,BURNET,138.0,2.0,43.3,2.97,240.0,1385643.0,10471440.0,10056.0,245076.0,,1.0,12.0,22.0,0.4923621957258771,0.1990425567385352,0.2305816921260142
689,BUTLER,10569.0,12.0,38.68332301341589,3.035343653250774,4845.0,27833515.0,964141129.0,1755623.7,3612421.15,16.0,13.0,103.0,23.9,0.4699195710455764,0.528876624814127,0.01828418230563
753,BUTTE,3640.0,4.0,37.69418803418804,2.9933247863247865,1170.0,8428161.0,224977227.0,132579.9,2055774.88,47.0,9.0,16.0,19.6,0.4979378011895631,0.4046295103521203,0.1910102603435551
762,BUTTS,121.0,1.0,38.0,3.13,149.0,1178443.0,3529214.0,18729.3,28037.33,,1.0,3.0,20.8,0.5393823408007805,0.4753025152318213,0.0404142744568276
763,CABARRUS,2522.0,1.0,36.5,3.15,893.0,7533100.0,164356650.0,435516.1,325918.21,,,11.0,21.4,0.4913039606101859,0.5663158406823136,0.1190727617399712
764,CABELL,4625.0,4.0,38.6,2.85,531.0,4126966.0,51359913.0,177566.4,152933.31,,,8.0,28.7,0.4873395880513318,0.2518953026482273,0.0162299148064272
