,County Name,Overdoses,Hospitals,Median_Age,Average_Family_Size,Number of Roads,Traffic_Volume,Population,Population_Density,Area_Sq_Miles,Number of Pharmacies,Number of Local Law Enforcements,Number of Fire Departments,Crude Depression Prevalence Estimate,Percent_Male,Shannon_Weiner,Percent_H
10161,NORTHWEST ARCTIC,0.0,,25.7,4.32,24.0,26593.0,182976.0,4.800000000000001,874010.3999999999,1.0,,4.0,18.9,,,
10162,NORTON (CITY),0.0,,,,,,,,,,,,,,,
10163,NOWATA,0.0,1.0,42.0,2.93,80.0,107049.0,840960.0,1448.0,46461.6,,,6.0,24.3,0.4987873035959084,0.5923857356279731,0.0436570705472951
10164,NUCKOLLS,0.0,1.0,49.4,2.7300000000000004,98.0,86709.0,441588.0,764.4,56442.12,2.0,,5.0,16.0,0.5008661222469686,0.1281502971191888,0.0371195248700816
10165,NUECES,3440.0,5.0,35.1,3.23,11.0,161277.0,3796573.0,4434.1,9285.21,,1.0,8.0,22.7,0.4969403481633558,0.2697359452196223,0.6544498598133499
10166,NYE,804.0,1.0,48.29999999999999,2.9,101.0,333658.0,4462180.0,242.4,1837808.12,4.0,,7.0,20.1,0.5145968066060141,0.3595597788094299,0.1736819028828236
10167,OCEAN,8758.0,5.0,,,,,,,,,2.0,49.0,18.0,0.4873645603788115,0.2273179841034659,0.1015669439636438
10168,OCHILTREE,0.0,1.0,31.700000000000003,3.26,82.0,153270.0,851570.0,910.2,75292.40000000001,4.0,,1.0,22.1,0.5039558609202581,0.1779228487755499,0.5759941703102228
10169,OCONEE,952.0,1.0,41.87993311036789,2.9613377926421403,598.0,3365262.0,36650624.0,79251.0,304393.96,,4.0,14.0,18.5,0.4929338350004588,0.3242738249992368,0.0588694136000734
10173,OCONTO,70.0,2.0,43.6,2.87,265.0,702000.0,10091730.0,9805.0,269550.05,,,18.0,19.8,0.5177251280498575,0.1395939552293953,0.0218000151388994
10174,OGLE,130.0,1.0,40.70000000000001,3.01,1801.0,4185358.0,97228786.0,126250.1,1374397.13,,6.0,11.0,17.2,0.5018597495667075,0.1469772482188962,0.1149928920566298
10175,OHIO,1136.0,2.0,42.06138763197587,2.922217194570136,663.0,3071168.0,19906076.0,145060.6,174056.27,,5.0,15.0,22.5,0.5024533856722276,0.1043457935546071,0.0197906444226365
10184,OKALOOSA,3282.0,4.0,,,,,,,,,4.0,18.0,19.4,0.509645143707098,0.44771831011443,0.1054129211666558
10185,OKANOGAN,534.0,3.0,42.9,2.96,235.0,1041687.0,9903135.0,1809.5,1249015.6,10.0,1.0,12.0,25.6,0.5122776914693812,0.4046366544553307,0.225148978598094
10186,OKEECHOBEE,592.0,1.0,38.5,3.1300000000000003,96.0,911590.0,3836544.0,4300.799999999999,85611.83999999998,,2.0,2.0,19.5,0.532416114025537,0.3223557621010793,0.2750668118380679
10187,OKLAHOMA,7950.0,23.0,34.4,3.08,4752.0,54964549.0,3473379360.0,4753425.6,3413931.84,158.0,2.0,28.0,22.4,0.4918030948503474,0.6146325938945788,0.1896271800577901
10188,OKMULGEE,361.0,2.0,38.8,3.05,318.0,996415.0,12722862.0,18126.0,223356.84,2.0,1.0,10.0,25.7,0.4978642876453095,0.6547155669599964,0.0504731008380643
10189,OLDHAM,0.0,1.0,38.04262295081967,3.1585245901639345,305.0,2052054.0,15356325.0,76852.0,131677.8,,2.0,8.0,21.7,0.5254857340381098,0.2500804930477088,0.0425170312972591
10193,OLIVER,0.0,,47.7,2.84,70.0,40005.0,129290.0,175.0,51189.59999999999,,,1.0,17.2,0.5290948275862069,0.1508040864090681,0.0167025862068965
